,SG,CG,PG,BG,SL,CL,PL,BL 
SG,SGSG,CGSG,PGSG,BGSG,SLSG,CLSG,PLSG,BLSG
CG,SGCG,CGCG,PGCG,BGCG,SLCG,CLCG,PLCG,BLCG
PG,SGPG,CGPG,PGPG,BGPG,SLPG,CLPG,PLPG,BLPG
BG,SGBG,CGBG,PGBG,BGBG,SLBG,CLBG,PLBG,BLBG
SL,SGSL,CGSL,PGSL,BGSL,SLSL,CLSL,PLSL,BLSL
CL,SGCL,CGCL,PGCL,BGCL,SLCL,CLCL,PLCL,BLCL
PL,SGPL ,CGPL,PGPL,BGPL,SLPL,CLPL,PLPL,BLPL
BL ,SGBL ,CGBL ,PGBL ,BGBL ,SLBL,CLBL ,PLBL ,BLBL 
