,SG,CG,PG,BG,SL,CL,PL,BL 
SG,0,5,5,5,6,2,6,1
CG,3,0,9,2,3,1,2,0
PG,18,2,0,3,2,2,8,0
BG,6,6,7,0,0,0,3,1
SL,0,1,2,0,0,0,0,0
CL,4,0,9,1,0,0,0,0
PL,15,10,0,4,0,0,0,0
BL ,0,0,3,0,0,0,0,0
